extrusion ratio,Mg(wt.%),extrusion temperature(°Ê),homogenization time(h),Y(wt.%),Zn(wt.%),aging time(h)
14.0,94.65,265,24,0.0,5.35,0.0
14.0,94.65,400,24,0.0,5.35,0.0
14.0,96.53,280,24,0.0,2.53,0.0
14.0,96.53,400,24,0.0,2.53,0.0
14.0,96.53,500,24,0.0,2.53,0.0
14.0,93.95,280,24,0.0,5.14,0.0
14.0,93.95,400,24,0.0,5.14,0.0
14.0,93.95,420,24,0.0,5.14,0.0
14.0,96.44,300,24,0.88,2.68,0.0
14.0,96.44,400,24,0.88,2.68,0.0
14.0,96.44,450,24,0.88,2.68,0.0
14.0,94.26,300,24,0.67,5.07,0.0
14.0,94.26,400,24,0.67,5.07,0.0
14.0,94.26,420,24,0.67,5.07,0.0
0.0,90.64926643,0,0,6.836869155,2.513864416,0.0
0.0,82.44770743,0,0,12.83350945,4.718783117,0.0
0.0,75.19574223,0,0,18.13584609,6.668411682,0.0
42.0,90.64926643,450,0,6.836869155,2.513864416,0.0
0.0,90.09630037,0,0,6.807093794,2.502916244,0.0
42.0,90.09630037,450,0,6.807093794,2.502916244,0.0
9.0,82.44770743,450,12,12.83350945,4.718783117,0.0
0.0,90.64926643,0,0,6.836869155,2.513864416,0.0
10.0,90.64926643,350,0,6.836869155,2.513864416,0.0
10.0,92.0,300,18,1.5,6.0,0.0
10.0,92.0,350,18,1.5,6.0,0.0
10.0,92.0,400,18,1.5,6.0,0.0
10.0,92.0,300,18,1.5,6.0,48.0
10.0,92.0,350,18,1.5,6.0,48.0
10.0,92.0,400,18,1.5,6.0,48.0
0.0,96.7901,0,0,1.549,1.217,0.0
0.0,96.7901,0,10,1.549,1.217,0.0
16.8,96.7901,350,10,1.549,1.217,0.0
9.0,86.41850009,450,12,9.930230295,3.651269611,0.0
9.0,86.41850009,450,12,9.930230295,3.651269611,24.0
0.0,96.4,0,0,1.0,2.0,0.0
0.0,96.4,0,0,1.0,2.0,0.0
0.0,96.4,0,0,1.0,2.0,0.0
0.0,96.4,0,0,1.0,2.0,0.0
6.75,94.9,460,2,0.6,4.0,0.0
6.75,94.9,460,2,0.6,4.0,0.0
6.75,94.9,460,2,0.6,4.0,0.0
6.75,94.55,460,0,0.57,4.33,0.0
6.75,92.18,460,0,0.61,6.6,0.0
6.75,94.31,460,0,0.88,4.3,0.0
0.0,95.8,0,0,0.6,3.0,0.0
0.0,95.2,0,0,0.6,3.0,0.0
0.0,94.9,0,0,0.6,3.0,0.0
0.0,94.6,0,0,0.6,3.0,0.0
0.0,93.5,0,0,3.67,2.51,8.0
0.0,90.35,0,0,5.44,3.71,8.0
0.0,91.76,0,0,2.07,5.63,8.0
0.0,90.42,0,0,3.33,5.6,8.0
0.0,89.17,0,0,4.67,5.46,8.0
16.0,96.5,350,12,0.5,3.0,0.0
16.0,94.75,350,12,0.75,4.5,0.0
16.0,93.0,350,12,1.0,6.0,0.0
32.0,96.5,350,12,0.5,3.0,0.0
32.0,94.75,350,12,0.75,4.5,0.0
32.0,93.0,350,12,1.0,6.0,0.0
0.0,95.2,0,0,1.0,3.8,0.0
0.0,91.0,0,0,3.0,6.0,0.0
12.75,95.2,350,0,1.0,3.8,0.0
12.75,91.0,350,0,3.0,6.0,0.0
0.0,91.7,0,0,1.5,6.0,0.0
0.0,90.7,0,0,1.5,6.0,0.0
0.0,89.7,0,0,1.5,6.0,0.0
0.0,88.7,0,0,1.5,6.0,0.0
0.0,87.7,0,0,1.5,6.0,0.0
8.34,93.4,300,48,0.0,6.0,0.0
8.34,93.23,300,48,0.2,5.97,0.0
8.34,92.67,300,48,0.8,5.94,0.0
8.34,92.3,300,48,1.2,5.91,0.0
8.34,92.03,300,48,1.5,5.88,0.0
8.34,91.86,300,48,1.7,5.85,0.0
8.34,91.3,300,48,2.3,5.82,0.0
0.0,93.11,0,0,1.05,5.84,0.0
0.0,94.94,0,0,1.47,3.59,0.0
0.0,94.58,0,0,1.31,4.11,0.0
25.0,99.0,450,20,1.0,0.0,0.0
25.0,98.0,450,20,2.0,0.0,0.0
25.0,97.0,450,20,3.0,0.0,0.0
9.0,99.0,300,8,1.0,0.0,0.0
9.0,95.0,300,8,5.0,0.0,0.0
16.0,99.1,300,8,0.9,0.0,0.0
16.0,95.4,300,8,4.6,0.0,0.0
16.0,93.13,300,24,0.0,6.31,0.0
16.0,93.13,400,24,0.0,6.31,0.0
0.0,88.9,0,0,3.0,1.5,0.0
0.0,88.9,0,0,3.0,1.5,0.0
0.0,88.9,0,0,3.0,1.5,0.0
0.0,88.9,0,0,3.0,1.5,0.0
0.0,88.9,0,0,3.0,1.5,0.0
12.0,89.1,400,12,2.29,0.0,0.0
12.0,88.03,400,12,2.58,0.5,0.0
8.0,93.52,320,0,0.0,5.91,0.0
15.0,85.38,400,12,0.0,2.77,0.0
15.0,86.06,400,12,0.0,4.23,0.0
15.0,87.8,400,12,0.0,6.87,0.0
7.0,93.5,300,0,0.0,6.0,0.0
7.0,92.0,300,0,0.0,6.0,0.0
20.0,82.29,450,48,4.31,1.53,0.0
20.0,82.86,450,48,4.22,0.0,0.0
20.0,83.08,450,48,4.9,0.0,0.0
20.0,82.29,450,48,4.31,1.53,48.0
20.0,82.86,450,48,4.22,0.0,24.0
20.0,83.08,450,48,4.9,0.0,48.0
0.0,96.9,0,0,0.2,2.0,0.0
0.0,98.0,0,0,0.0,2.0,0.0
0.0,96.0,0,0,0.0,4.0,0.0
0.0,97.04,0,0,0.46,2.0,0.0
0.0,94.9,0,0,0.9,3.0,0.0
0.0,94.4,0,0,0.0,5.0,0.0
0.0,92.4,0,0,0.0,5.0,0.0
18.0,93.56,290,0,0.0,5.97,0.0
18.0,93.56,305,0,0.0,5.97,0.0
18.0,93.56,320,0,0.0,5.97,0.0
18.0,93.56,360,0,0.0,5.97,0.0
18.0,91.74,290,0,0.0,6.23,0.0
18.0,91.74,305,0,0.0,6.23,0.0
18.0,91.74,320,0,0.0,6.23,0.0
18.0,91.74,360,0,0.0,6.23,0.0
18.0,91.74,320,0,0.0,6.23,0.0
18.0,91.74,340,0,0.0,6.23,0.0
18.0,91.74,290,0,0.0,6.23,0.0
18.0,91.74,290,0,0.0,6.23,38.0
18.0,91.74,305,0,0.0,6.23,0.0
18.0,91.74,305,0,0.0,6.23,38.0
10.0,91.74,305,0,0.0,6.23,0.0
18.0,91.74,320,0,0.0,6.23,0.0
18.0,91.74,320,0,0.0,6.23,38.0
18.0,91.74,340,0,0.0,6.23,0.0
18.0,91.74,340,0,0.0,6.23,38.0
18.0,91.74,360,0,0.0,6.23,0.0
18.0,91.74,360,0,0.0,6.23,24.0
18.0,91.74,360,0,0.0,6.23,38.0
18.0,91.74,360,0,0.0,6.23,64.0
18.0,91.74,360,0,0.0,6.23,72.0
18.0,91.74,320,0,0.0,6.23,0.0
18.0,91.74,320,0,0.0,6.23,38.0
18.0,91.74,320,0,0.0,6.23,48.0
18.0,91.74,320,0,0.0,6.23,72.0
18.0,91.74,320,0,0.0,6.23,0.0
18.0,91.74,320,0,0.0,6.23,38.0
18.0,91.74,320,0,0.0,6.23,48.0
18.0,91.74,320,0,0.0,6.23,72.0
18.0,93.56,305,0,0.0,5.97,24.0
18.0,93.56,305,0,0.0,5.97,38.0
18.0,93.56,305,0,0.0,5.97,48.0
18.0,93.56,305,0,0.0,5.97,72.0
18.0,93.56,320,0,0.0,5.97,12.0
18.0,93.56,320,0,0.0,5.97,24.0
18.0,93.56,320,0,0.0,5.97,38.0
18.0,93.56,320,0,0.0,5.97,25.5
18.0,93.56,360,0,0.0,5.97,12.0
18.0,93.56,360,0,0.0,5.97,24.0
18.0,93.56,360,0,0.0,5.97,38.0
18.0,93.56,360,0,0.0,5.97,25.5
18.0,91.79,290,0,0.0,5.87,0.0
18.0,91.79,305,0,0.0,5.87,0.0
18.0,91.79,320,0,0.0,5.87,0.0
18.0,91.79,340,0,0.0,5.87,0.0
18.0,91.79,360,0,0.0,5.87,0.0
18.0,91.79,290,0,0.0,5.87,38.0
18.0,91.79,305,0,0.0,5.87,38.0
18.0,91.79,305,0,0.0,5.87,48.0
18.0,91.79,305,0,0.0,5.87,72.0
18.0,91.79,305,0,0.0,5.87,72.0
18.0,91.79,320,0,0.0,5.87,38.0
18.0,91.79,360,0,0.0,5.87,38.0
18.0,91.79,360,0,0.0,5.87,48.0
18.0,91.79,360,0,0.0,5.87,72.0
18.0,91.79,320,0,0.0,5.87,38.0
18.0,91.79,320,0,0.0,5.87,48.0
18.0,91.79,320,0,0.0,5.87,72.0
18.0,91.79,320,0,0.0,5.87,72.0
18.0,92.42,320,0,1.65,5.26,0.0
18.0,92.42,320,0,1.65,5.26,0.0
32.0,92.42,305,0,1.65,5.26,0.0
18.0,92.42,305,0,1.65,5.26,0.0
10.0,92.42,305,0,1.65,5.26,0.0
18.0,92.42,305,0,1.65,5.26,38.0
18.0,92.42,305,0,1.65,5.26,48.0
18.0,92.42,305,0,1.65,5.26,72.0
32.0,92.42,305,0,1.65,5.26,24.0
32.0,92.42,305,0,1.65,5.26,38.0
32.0,92.42,305,0,1.65,5.26,25.5
18.0,92.42,320,0,1.65,5.26,24.0
18.0,92.42,320,0,1.65,5.26,38.0
18.0,92.42,320,0,1.65,5.26,25.5
18.0,92.42,320,0,1.65,5.26,24.0
18.0,92.42,320,0,1.65,5.26,38.0
18.0,92.42,320,0,1.65,5.26,72.0
18.0,92.42,320,0,1.65,5.26,72.0
